City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yulara,-25.24,130.99,57.2,30,0,10.29,AU,1596069696
1,Byron Bay,-28.65,153.62,64.4,63,0,12.75,AU,1596069696
2,Avarua,-21.21,-159.78,69.8,83,1,6.93,CK,1596069696
3,Saskylakh,71.92,114.08,57.9,59,0,3.31,RU,1596069696
4,Busselton,-33.65,115.33,51.01,97,82,6.69,AU,1596069527
5,Punta Arenas,-53.15,-70.92,37.4,88,98,8.05,CL,1596069697
6,São Félix do Xingu,-6.64,-51.99,73.87,46,9,1.41,BR,1596069697
7,Omalur,11.74,78.05,73.42,90,98,1.59,IN,1596069697
8,Kavieng,-2.57,150.8,84.34,67,24,5.61,PG,1596069697
9,Roald,62.58,6.13,57.2,87,16,10.29,NO,1596069697
10,Zihuatanejo,17.63,-101.55,83.68,75,94,4.85,MX,1596069697
11,Rikitea,-23.12,-134.97,73.27,84,100,14.63,PF,1596069697
12,Hamilton,39.18,-84.53,86.0,54,1,4.7,US,1596069643
13,Vaini,-21.2,-175.2,71.6,78,75,17.22,TO,1596069698
14,Badajoz,38.67,-6.17,84.0,37,0,5.01,ES,1596069698
15,Tuatapere,-46.13,167.68,54.99,69,100,9.55,NZ,1596069698
16,Beringovskiy,63.05,179.32,55.35,78,71,9.91,RU,1596069639
17,Mar del Plata,-38.0,-57.56,48.99,93,16,6.73,AR,1596069543
18,Tiznit Province,29.58,-9.5,75.72,45,0,0.96,MA,1596069698
19,Guerrero Negro,27.98,-114.06,73.92,67,0,16.37,MX,1596069698
20,Hermanus,-34.42,19.23,55.99,89,80,3.0,ZA,1596069698
21,Dobryatino,55.51,41.32,64.63,95,100,6.22,RU,1596069698
22,Biak,-0.91,122.88,74.1,88,100,5.68,ID,1596069699
23,Mil'kovo,54.72,158.62,70.47,51,100,3.02,RU,1596069699
24,Chapais,49.78,-74.85,66.2,82,75,5.82,CA,1596069527
25,Port Alfred,-33.59,26.89,58.44,69,1,19.62,ZA,1596069699
26,Jhang,33.67,72.7,73.4,100,90,11.41,PK,1596069699
27,Butaritari,3.07,172.79,82.94,73,0,16.26,KI,1596069699
28,Río Gallegos,-51.62,-69.22,33.8,86,12,9.17,AR,1596069441
29,Ribeira Grande,38.52,-28.7,74.1,91,56,22.82,PT,1596069699
30,Praia da Vitória,38.73,-27.07,75.2,88,40,17.4,PT,1596069699
31,Tiksi,71.69,128.87,40.08,86,100,8.46,RU,1596069699
32,São Filipe,14.9,-24.5,77.52,87,98,7.7,CV,1596069699
33,Hilo,19.73,-155.09,84.2,51,75,12.75,US,1596069700
34,College,64.86,-147.8,66.99,55,75,5.82,US,1596069700
35,Valleyview,55.07,-117.29,71.37,79,95,6.51,CA,1596069700
36,Hobart,-42.88,147.33,51.8,57,40,9.17,AU,1596069437
37,Topeka,39.05,-95.68,75.2,94,90,3.36,US,1596069628
38,Waingapu,-9.66,120.26,78.84,63,1,13.33,ID,1596069701
39,Portland,45.52,-122.68,95.0,27,20,11.41,US,1596069468
40,Mataura,-46.19,168.86,54.55,72,100,2.98,NZ,1596069701
41,Talaya,61.38,152.75,48.07,61,100,17.43,RU,1596069702
42,Abū Zabad,12.35,29.25,73.22,83,4,9.04,SD,1596069702
43,Jamestown,42.1,-79.24,73.0,78,75,4.7,US,1596069434
